Start Time: 2025-02-21 11:11:27.294 AM
Export Time: 2025-02-21 11:14:12.433 AM
Min (dBA): 36.4
Max (dBA): 103.5
Peak (dBA): 113.5
Avg (dBA): 85.2
TWA (dBA): 59.0
Dose (%): 0.3

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
48.8,2025-02-21 11:12:20.653 AM
44.9,2025-02-21 11:12:20.866 AM
48.9,2025-02-21 11:12:21.080 AM
49.7,2025-02-21 11:12:21.293 AM
55.6,2025-02-21 11:12:21.506 AM
47.4,2025-02-21 11:12:21.719 AM
49.8,2025-02-21 11:12:21.933 AM
50.4,2025-02-21 11:12:22.146 AM
44.4,2025-02-21 11:12:22.359 AM
45.2,2025-02-21 11:12:22.573 AM
51.2,2025-02-21 11:12:22.786 AM
39.7,2025-02-21 11:12:23.000 AM
37.7,2025-02-21 11:12:23.213 AM
48.3,2025-02-21 11:12:23.426 AM
41.7,2025-02-21 11:12:23.639 AM
56.2,2025-02-21 11:12:23.853 AM
64.4,2025-02-21 11:12:24.066 AM
65.0,2025-02-21 11:12:24.279 AM
60.5,2025-02-21 11:12:24.493 AM
51.9,2025-02-21 11:12:24.706 AM
55.8,2025-02-21 11:12:24.919 AM
55.5,2025-02-21 11:12:25.133 AM
60.6,2025-02-21 11:12:25.346 AM
54.1,2025-02-21 11:12:25.559 AM
51.6,2025-02-21 11:12:25.773 AM
41.0,2025-02-21 11:12:25.986 AM
46.5,2025-02-21 11:12:26.199 AM
43.2,2025-02-21 11:12:26.413 AM
42.2,2025-02-21 11:12:26.626 AM
41.1,2025-02-21 11:12:26.839 AM
52.7,2025-02-21 11:12:27.053 AM
50.5,2025-02-21 11:12:27.266 AM
49.6,2025-02-21 11:12:27.479 AM
45.4,2025-02-21 11:12:27.693 AM
47.4,2025-02-21 11:12:27.906 AM
47.9,2025-02-21 11:12:28.119 AM
43.5,2025-02-21 11:12:28.333 AM
45.9,2025-02-21 11:12:28.546 AM
64.1,2025-02-21 11:12:28.759 AM
65.3,2025-02-21 11:12:28.973 AM
50.7,2025-02-21 11:12:29.186 AM
43.9,2025-02-21 11:12:29.399 AM
43.7,2025-02-21 11:12:29.613 AM
40.5,2025-02-21 11:12:29.826 AM
46.1,2025-02-21 11:12:30.039 AM
46.5,2025-02-21 11:12:30.253 AM
46.1,2025-02-21 11:12:30.466 AM
47.8,2025-02-21 11:12:30.679 AM
48.4,2025-02-21 11:12:30.893 AM
55.8,2025-02-21 11:12:31.106 AM
52.1,2025-02-21 11:12:31.319 AM
48.3,2025-02-21 11:12:31.533 AM
40.6,2025-02-21 11:12:31.746 AM
52.1,2025-02-21 11:12:31.959 AM
47.8,2025-02-21 11:12:32.173 AM
47.0,2025-02-21 11:12:32.386 AM
40.7,2025-02-21 11:12:32.599 AM
45.3,2025-02-21 11:12:32.813 AM
49.1,2025-02-21 11:12:33.026 AM
46.7,2025-02-21 11:12:33.239 AM
44.6,2025-02-21 11:12:33.453 AM
47.8,2025-02-21 11:12:33.666 AM
47.4,2025-02-21 11:12:33.879 AM
43.2,2025-02-21 11:12:34.093 AM
51.0,2025-02-21 11:12:34.306 AM
50.9,2025-02-21 11:12:34.519 AM
50.1,2025-02-21 11:12:34.733 AM
42.1,2025-02-21 11:12:34.946 AM
41.0,2025-02-21 11:12:35.159 AM
60.7,2025-02-21 11:12:35.373 AM
53.7,2025-02-21 11:12:35.586 AM
63.3,2025-02-21 11:12:35.799 AM
59.8,2025-02-21 11:12:36.013 AM
51.0,2025-02-21 11:12:36.226 AM
47.3,2025-02-21 11:12:36.439 AM
48.1,2025-02-21 11:12:36.653 AM
46.9,2025-02-21 11:12:36.866 AM
50.2,2025-02-21 11:12:37.079 AM
51.3,2025-02-21 11:12:37.293 AM
53.4,2025-02-21 11:12:37.506 AM
47.7,2025-02-21 11:12:37.719 AM
52.4,2025-02-21 11:12:37.933 AM
59.5,2025-02-21 11:12:38.146 AM
68.3,2025-02-21 11:12:38.359 AM
55.6,2025-02-21 11:12:38.573 AM
46.1,2025-02-21 11:12:38.786 AM
65.5,2025-02-21 11:12:38.999 AM
58.4,2025-02-21 11:12:39.213 AM
58.4,2025-02-21 11:12:39.426 AM
55.2,2025-02-21 11:12:39.639 AM
40.9,2025-02-21 11:12:39.853 AM
37.2,2025-02-21 11:12:40.066 AM
43.5,2025-02-21 11:12:40.279 AM
47.9,2025-02-21 11:12:40.493 AM
49.0,2025-02-21 11:12:40.706 AM
45.8,2025-02-21 11:12:40.919 AM
48.1,2025-02-21 11:12:41.133 AM
49.7,2025-02-21 11:12:41.346 AM
48.2,2025-02-21 11:12:41.559 AM
75.4,2025-02-21 11:12:41.772 AM
79.9,2025-02-21 11:12:41.986 AM
77.9,2025-02-21 11:12:42.199 AM
94.9,2025-02-21 11:12:42.413 AM
80.1,2025-02-21 11:12:42.626 AM
98.2,2025-02-21 11:12:42.839 AM
93.9,2025-02-21 11:12:43.052 AM
79.3,2025-02-21 11:12:43.266 AM
103.0,2025-02-21 11:12:43.479 AM
89.9,2025-02-21 11:12:43.693 AM
79.5,2025-02-21 11:12:43.906 AM
96.5,2025-02-21 11:12:44.119 AM
85.6,2025-02-21 11:12:44.332 AM
78.2,2025-02-21 11:12:44.546 AM
95.6,2025-02-21 11:12:44.759 AM
86.4,2025-02-21 11:12:44.972 AM
77.0,2025-02-21 11:12:45.186 AM
102.8,2025-02-21 11:12:45.399 AM
82.6,2025-02-21 11:12:45.612 AM
77.9,2025-02-21 11:12:45.826 AM
100.9,2025-02-21 11:12:46.039 AM
80.7,2025-02-21 11:12:46.252 AM
78.6,2025-02-21 11:12:46.466 AM
97.2,2025-02-21 11:12:46.679 AM
80.3,2025-02-21 11:12:46.893 AM
78.1,2025-02-21 11:12:47.106 AM
97.8,2025-02-21 11:12:47.319 AM
80.1,2025-02-21 11:12:47.532 AM
103.5,2025-02-21 11:12:47.746 AM
90.5,2025-02-21 11:12:47.959 AM
63.7,2025-02-21 11:12:48.172 AM
48.3,2025-02-21 11:12:48.386 AM
40.1,2025-02-21 11:12:48.599 AM
40.2,2025-02-21 11:12:48.813 AM
47.1,2025-02-21 11:12:49.026 AM
58.6,2025-02-21 11:12:49.239 AM
57.0,2025-02-21 11:12:49.452 AM
