Start Time: 2025-02-21 11:12:51.890 AM
Export Time: 2025-02-21 11:15:18.396 AM
Min (dBA): 34.8
Max (dBA): 102.8
Peak (dBA): 112.7
Avg (dBA): 84.8
TWA (dBA): 61.3
Dose (%): 0.4

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
38.4,2025-02-21 11:14:40.508 AM
38.2,2025-02-21 11:14:40.722 AM
41.9,2025-02-21 11:14:40.935 AM
43.5,2025-02-21 11:14:41.149 AM
38.7,2025-02-21 11:14:41.362 AM
48.7,2025-02-21 11:14:41.575 AM
58.9,2025-02-21 11:14:41.789 AM
69.9,2025-02-21 11:14:42.002 AM
66.5,2025-02-21 11:14:42.215 AM
65.8,2025-02-21 11:14:42.428 AM
70.8,2025-02-21 11:14:42.642 AM
57.3,2025-02-21 11:14:42.855 AM
40.3,2025-02-21 11:14:43.068 AM
38.1,2025-02-21 11:14:43.282 AM
37.1,2025-02-21 11:14:43.495 AM
35.8,2025-02-21 11:14:43.708 AM
45.6,2025-02-21 11:14:43.922 AM
53.3,2025-02-21 11:14:44.135 AM
55.0,2025-02-21 11:14:44.348 AM
49.1,2025-02-21 11:14:44.562 AM
43.3,2025-02-21 11:14:44.775 AM
41.0,2025-02-21 11:14:44.988 AM
47.2,2025-02-21 11:14:45.202 AM
43.1,2025-02-21 11:14:45.415 AM
38.2,2025-02-21 11:14:45.628 AM
39.0,2025-02-21 11:14:45.842 AM
43.9,2025-02-21 11:14:46.055 AM
43.1,2025-02-21 11:14:46.268 AM
46.3,2025-02-21 11:14:46.482 AM
74.4,2025-02-21 11:14:46.695 AM
54.7,2025-02-21 11:14:46.908 AM
37.4,2025-02-21 11:14:47.122 AM
38.6,2025-02-21 11:14:47.335 AM
61.3,2025-02-21 11:14:47.548 AM
42.2,2025-02-21 11:14:47.762 AM
34.8,2025-02-21 11:14:47.975 AM
50.7,2025-02-21 11:14:48.188 AM
39.6,2025-02-21 11:14:48.402 AM
39.9,2025-02-21 11:14:48.615 AM
38.4,2025-02-21 11:14:48.828 AM
37.4,2025-02-21 11:14:49.042 AM
36.5,2025-02-21 11:14:49.255 AM
40.0,2025-02-21 11:14:49.468 AM
46.2,2025-02-21 11:14:49.682 AM
54.5,2025-02-21 11:14:49.895 AM
69.0,2025-02-21 11:14:50.108 AM
72.1,2025-02-21 11:14:50.322 AM
67.2,2025-02-21 11:14:50.535 AM
59.2,2025-02-21 11:14:50.748 AM
56.2,2025-02-21 11:14:50.962 AM
48.1,2025-02-21 11:14:51.175 AM
50.7,2025-02-21 11:14:51.388 AM
42.7,2025-02-21 11:14:51.602 AM
44.8,2025-02-21 11:14:51.815 AM
57.1,2025-02-21 11:14:52.028 AM
47.9,2025-02-21 11:14:52.241 AM
41.6,2025-02-21 11:14:52.455 AM
38.2,2025-02-21 11:14:52.668 AM
38.1,2025-02-21 11:14:52.881 AM
41.8,2025-02-21 11:14:53.095 AM
53.0,2025-02-21 11:14:53.308 AM
41.2,2025-02-21 11:14:53.522 AM
47.9,2025-02-21 11:14:53.735 AM
52.5,2025-02-21 11:14:53.948 AM
45.6,2025-02-21 11:14:54.162 AM
42.2,2025-02-21 11:14:54.375 AM
45.5,2025-02-21 11:14:54.588 AM
51.6,2025-02-21 11:14:54.802 AM
47.4,2025-02-21 11:14:55.015 AM
63.0,2025-02-21 11:14:55.228 AM
78.0,2025-02-21 11:14:55.442 AM
77.9,2025-02-21 11:14:55.655 AM
94.7,2025-02-21 11:14:55.868 AM
79.6,2025-02-21 11:14:56.082 AM
77.7,2025-02-21 11:14:56.295 AM
95.7,2025-02-21 11:14:56.508 AM
79.3,2025-02-21 11:14:56.722 AM
77.8,2025-02-21 11:14:56.935 AM
102.8,2025-02-21 11:14:57.148 AM
79.2,2025-02-21 11:14:57.362 AM
101.1,2025-02-21 11:14:57.575 AM
91.1,2025-02-21 11:14:57.788 AM
78.6,2025-02-21 11:14:58.002 AM
87.0,2025-02-21 11:14:58.215 AM
94.6,2025-02-21 11:14:58.428 AM
77.4,2025-02-21 11:14:58.642 AM
102.8,2025-02-21 11:14:58.855 AM
86.6,2025-02-21 11:14:59.068 AM
77.5,2025-02-21 11:14:59.281 AM
96.5,2025-02-21 11:14:59.495 AM
82.0,2025-02-21 11:14:59.708 AM
76.0,2025-02-21 11:14:59.922 AM
97.8,2025-02-21 11:15:00.135 AM
80.4,2025-02-21 11:15:00.348 AM
78.1,2025-02-21 11:15:00.561 AM
102.6,2025-02-21 11:15:00.775 AM
79.6,2025-02-21 11:15:00.988 AM
77.5,2025-02-21 11:15:01.201 AM
95.6,2025-02-21 11:15:01.415 AM
78.7,2025-02-21 11:15:01.628 AM
97.1,2025-02-21 11:15:01.842 AM
91.0,2025-02-21 11:15:02.055 AM
78.3,2025-02-21 11:15:02.268 AM
99.4,2025-02-21 11:15:02.481 AM
93.4,2025-02-21 11:15:02.695 AM
77.6,2025-02-21 11:15:02.908 AM
99.6,2025-02-21 11:15:03.121 AM
89.3,2025-02-21 11:15:03.335 AM
77.1,2025-02-21 11:15:03.548 AM
102.4,2025-02-21 11:15:03.761 AM
83.3,2025-02-21 11:15:03.975 AM
76.2,2025-02-21 11:15:04.188 AM
98.8,2025-02-21 11:15:04.401 AM
80.0,2025-02-21 11:15:04.615 AM
77.9,2025-02-21 11:15:04.828 AM
95.6,2025-02-21 11:15:05.041 AM
80.0,2025-02-21 11:15:05.255 AM
78.1,2025-02-21 11:15:05.468 AM
98.4,2025-02-21 11:15:05.681 AM
79.3,2025-02-21 11:15:05.895 AM
93.3,2025-02-21 11:15:06.108 AM
