Start Time: 2025-02-21 11:19:11.707 AM
Export Time: 2025-02-21 11:23:52.167 AM
Min (dBA): 35.0
Max (dBA): 92.2
Peak (dBA): 102.0
Avg (dBA): 73.4
TWA (dBA): 50.1
Dose (%): 0.0

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
63.6,2025-02-21 11:22:02.580 AM
60.2,2025-02-21 11:22:02.793 AM
63.1,2025-02-21 11:22:03.007 AM
67.0,2025-02-21 11:22:03.220 AM
63.2,2025-02-21 11:22:03.433 AM
61.6,2025-02-21 11:22:03.647 AM
67.3,2025-02-21 11:22:03.860 AM
65.8,2025-02-21 11:22:04.073 AM
65.4,2025-02-21 11:22:04.287 AM
62.2,2025-02-21 11:22:04.500 AM
63.7,2025-02-21 11:22:04.713 AM
62.3,2025-02-21 11:22:04.927 AM
60.0,2025-02-21 11:22:05.140 AM
58.0,2025-02-21 11:22:05.353 AM
55.0,2025-02-21 11:22:05.567 AM
58.1,2025-02-21 11:22:05.780 AM
53.6,2025-02-21 11:22:05.993 AM
56.5,2025-02-21 11:22:06.207 AM
55.9,2025-02-21 11:22:06.420 AM
53.3,2025-02-21 11:22:06.633 AM
50.9,2025-02-21 11:22:06.847 AM
46.3,2025-02-21 11:22:07.060 AM
53.8,2025-02-21 11:22:07.273 AM
47.2,2025-02-21 11:22:07.487 AM
46.5,2025-02-21 11:22:07.700 AM
42.6,2025-02-21 11:22:07.913 AM
45.8,2025-02-21 11:22:08.127 AM
45.9,2025-02-21 11:22:08.340 AM
42.7,2025-02-21 11:22:08.553 AM
58.3,2025-02-21 11:22:08.767 AM
63.7,2025-02-21 11:22:08.980 AM
70.1,2025-02-21 11:22:09.193 AM
64.1,2025-02-21 11:22:09.407 AM
68.7,2025-02-21 11:22:09.620 AM
71.2,2025-02-21 11:22:09.833 AM
70.0,2025-02-21 11:22:10.047 AM
72.0,2025-02-21 11:22:10.260 AM
66.5,2025-02-21 11:22:10.473 AM
62.5,2025-02-21 11:22:10.687 AM
57.4,2025-02-21 11:22:10.900 AM
52.9,2025-02-21 11:22:11.113 AM
52.5,2025-02-21 11:22:11.327 AM
52.7,2025-02-21 11:22:11.540 AM
66.9,2025-02-21 11:22:11.753 AM
68.2,2025-02-21 11:22:11.967 AM
66.3,2025-02-21 11:22:12.180 AM
68.8,2025-02-21 11:22:12.393 AM
64.3,2025-02-21 11:22:12.607 AM
64.7,2025-02-21 11:22:12.820 AM
62.8,2025-02-21 11:22:13.033 AM
63.7,2025-02-21 11:22:13.247 AM
62.3,2025-02-21 11:22:13.460 AM
53.0,2025-02-21 11:22:13.673 AM
59.1,2025-02-21 11:22:13.887 AM
57.4,2025-02-21 11:22:14.100 AM
50.0,2025-02-21 11:22:14.313 AM
48.4,2025-02-21 11:22:14.527 AM
46.7,2025-02-21 11:22:14.740 AM
47.7,2025-02-21 11:22:14.953 AM
45.7,2025-02-21 11:22:15.167 AM
43.9,2025-02-21 11:22:15.380 AM
39.0,2025-02-21 11:22:15.593 AM
41.4,2025-02-21 11:22:15.806 AM
40.0,2025-02-21 11:22:16.020 AM
41.0,2025-02-21 11:22:16.233 AM
40.0,2025-02-21 11:22:16.446 AM
39.3,2025-02-21 11:22:16.660 AM
39.8,2025-02-21 11:22:16.873 AM
38.2,2025-02-21 11:22:17.087 AM
51.1,2025-02-21 11:22:17.300 AM
46.4,2025-02-21 11:22:17.513 AM
70.7,2025-02-21 11:22:17.727 AM
78.9,2025-02-21 11:22:17.940 AM
81.4,2025-02-21 11:22:18.153 AM
81.8,2025-02-21 11:22:18.367 AM
79.2,2025-02-21 11:22:18.580 AM
91.9,2025-02-21 11:22:18.793 AM
80.8,2025-02-21 11:22:19.006 AM
79.1,2025-02-21 11:22:19.220 AM
89.2,2025-02-21 11:22:19.433 AM
79.4,2025-02-21 11:22:19.647 AM
78.0,2025-02-21 11:22:19.860 AM
87.2,2025-02-21 11:22:20.073 AM
80.0,2025-02-21 11:22:20.286 AM
77.3,2025-02-21 11:22:20.500 AM
89.9,2025-02-21 11:22:20.713 AM
80.2,2025-02-21 11:22:20.927 AM
76.4,2025-02-21 11:22:21.140 AM
91.1,2025-02-21 11:22:21.353 AM
79.1,2025-02-21 11:22:21.567 AM
78.6,2025-02-21 11:22:21.780 AM
86.1,2025-02-21 11:22:21.993 AM
78.9,2025-02-21 11:22:22.206 AM
78.9,2025-02-21 11:22:22.420 AM
82.7,2025-02-21 11:22:22.633 AM
78.9,2025-02-21 11:22:22.846 AM
78.2,2025-02-21 11:22:23.060 AM
90.0,2025-02-21 11:22:23.273 AM
78.9,2025-02-21 11:22:23.486 AM
91.1,2025-02-21 11:22:23.700 AM
80.4,2025-02-21 11:22:23.913 AM
78.5,2025-02-21 11:22:24.126 AM
85.1,2025-02-21 11:22:24.340 AM
81.0,2025-02-21 11:22:24.553 AM
77.9,2025-02-21 11:22:24.766 AM
82.7,2025-02-21 11:22:24.980 AM
79.9,2025-02-21 11:22:25.193 AM
77.3,2025-02-21 11:22:25.406 AM
90.1,2025-02-21 11:22:25.620 AM
79.7,2025-02-21 11:22:25.833 AM
77.0,2025-02-21 11:22:26.046 AM
92.1,2025-02-21 11:22:26.260 AM
79.1,2025-02-21 11:22:26.473 AM
78.3,2025-02-21 11:22:26.686 AM
81.8,2025-02-21 11:22:26.900 AM
78.6,2025-02-21 11:22:27.113 AM
79.1,2025-02-21 11:22:27.326 AM
81.4,2025-02-21 11:22:27.540 AM
78.8,2025-02-21 11:22:27.753 AM
78.1,2025-02-21 11:22:27.966 AM
92.2,2025-02-21 11:22:28.180 AM
78.6,2025-02-21 11:22:28.393 AM
