Start Time: 2025-02-21 11:15:12.058 AM
Export Time: 2025-02-21 11:19:58.669 AM
Min (dBA): 35.6
Max (dBA): 95.9
Peak (dBA): 105.9
Avg (dBA): 75.5
TWA (dBA): 53.4
Dose (%): 0.1

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
51.2,2025-02-21 11:18:38.912 AM
49.8,2025-02-21 11:18:39.125 AM
48.0,2025-02-21 11:18:39.339 AM
49.9,2025-02-21 11:18:39.552 AM
56.0,2025-02-21 11:18:39.765 AM
66.6,2025-02-21 11:18:39.979 AM
77.3,2025-02-21 11:18:40.192 AM
76.7,2025-02-21 11:18:40.405 AM
95.9,2025-02-21 11:18:40.619 AM
77.9,2025-02-21 11:18:40.832 AM
76.4,2025-02-21 11:18:41.045 AM
87.6,2025-02-21 11:18:41.259 AM
78.1,2025-02-21 11:18:41.472 AM
92.4,2025-02-21 11:18:41.685 AM
78.5,2025-02-21 11:18:41.899 AM
77.4,2025-02-21 11:18:42.112 AM
84.7,2025-02-21 11:18:42.325 AM
78.0,2025-02-21 11:18:42.539 AM
76.8,2025-02-21 11:18:42.752 AM
94.5,2025-02-21 11:18:42.965 AM
79.9,2025-02-21 11:18:43.179 AM
75.9,2025-02-21 11:18:43.392 AM
87.6,2025-02-21 11:18:43.605 AM
77.9,2025-02-21 11:18:43.818 AM
75.6,2025-02-21 11:18:44.032 AM
82.5,2025-02-21 11:18:44.245 AM
78.1,2025-02-21 11:18:44.459 AM
77.5,2025-02-21 11:18:44.672 AM
81.6,2025-02-21 11:18:44.885 AM
78.1,2025-02-21 11:18:45.098 AM
75.9,2025-02-21 11:18:45.312 AM
92.9,2025-02-21 11:18:45.525 AM
78.1,2025-02-21 11:18:45.738 AM
75.9,2025-02-21 11:18:45.952 AM
82.7,2025-02-21 11:18:46.165 AM
77.9,2025-02-21 11:18:46.378 AM
76.2,2025-02-21 11:18:46.592 AM
79.6,2025-02-21 11:18:46.805 AM
76.8,2025-02-21 11:18:47.018 AM
80.4,2025-02-21 11:18:47.232 AM
79.8,2025-02-21 11:18:47.445 AM
76.4,2025-02-21 11:18:47.658 AM
86.6,2025-02-21 11:18:47.872 AM
77.8,2025-02-21 11:18:48.085 AM
76.0,2025-02-21 11:18:48.298 AM
88.1,2025-02-21 11:18:48.512 AM
77.7,2025-02-21 11:18:48.725 AM
74.8,2025-02-21 11:18:48.938 AM
81.9,2025-02-21 11:18:49.152 AM
78.2,2025-02-21 11:18:49.365 AM
77.0,2025-02-21 11:18:49.578 AM
88.7,2025-02-21 11:18:49.792 AM
78.0,2025-02-21 11:18:50.005 AM
