Start Time: 2025-02-21 11:59:17.926 AM
Export Time: 2025-02-21 12:00:35.609 PM
Min (dBA): 34.8
Max (dBA): 102.7
Peak (dBA): 112.5
Avg (dBA): 88.5
TWA (dBA): 60.3
Dose (%): 0.3

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
48.6,2025-02-21 11:59:36.507 AM
40.9,2025-02-21 11:59:36.720 AM
39.2,2025-02-21 11:59:36.934 AM
41.6,2025-02-21 11:59:37.147 AM
42.1,2025-02-21 11:59:37.360 AM
37.1,2025-02-21 11:59:37.574 AM
37.6,2025-02-21 11:59:37.787 AM
37.0,2025-02-21 11:59:38.000 AM
54.7,2025-02-21 11:59:38.214 AM
57.1,2025-02-21 11:59:38.427 AM
60.3,2025-02-21 11:59:38.640 AM
57.0,2025-02-21 11:59:38.854 AM
48.5,2025-02-21 11:59:39.067 AM
40.0,2025-02-21 11:59:39.280 AM
36.1,2025-02-21 11:59:39.494 AM
37.2,2025-02-21 11:59:39.707 AM
37.6,2025-02-21 11:59:39.920 AM
44.0,2025-02-21 11:59:40.134 AM
40.7,2025-02-21 11:59:40.347 AM
36.8,2025-02-21 11:59:40.560 AM
36.0,2025-02-21 11:59:40.774 AM
34.8,2025-02-21 11:59:40.987 AM
36.3,2025-02-21 11:59:41.200 AM
38.1,2025-02-21 11:59:41.414 AM
36.5,2025-02-21 11:59:41.627 AM
37.8,2025-02-21 11:59:41.840 AM
43.7,2025-02-21 11:59:42.054 AM
37.4,2025-02-21 11:59:42.267 AM
44.1,2025-02-21 11:59:42.480 AM
37.6,2025-02-21 11:59:42.694 AM
42.8,2025-02-21 11:59:42.907 AM
39.6,2025-02-21 11:59:43.120 AM
36.8,2025-02-21 11:59:43.334 AM
37.3,2025-02-21 11:59:43.547 AM
36.1,2025-02-21 11:59:43.760 AM
37.0,2025-02-21 11:59:43.974 AM
37.5,2025-02-21 11:59:44.187 AM
37.4,2025-02-21 11:59:44.400 AM
36.8,2025-02-21 11:59:44.614 AM
38.2,2025-02-21 11:59:44.827 AM
43.4,2025-02-21 11:59:45.040 AM
38.0,2025-02-21 11:59:45.254 AM
37.5,2025-02-21 11:59:45.467 AM
42.0,2025-02-21 11:59:45.680 AM
42.3,2025-02-21 11:59:45.893 AM
41.9,2025-02-21 11:59:46.107 AM
37.5,2025-02-21 11:59:46.320 AM
36.8,2025-02-21 11:59:46.534 AM
38.0,2025-02-21 11:59:46.747 AM
36.6,2025-02-21 11:59:46.960 AM
36.3,2025-02-21 11:59:47.173 AM
37.3,2025-02-21 11:59:47.387 AM
37.3,2025-02-21 11:59:47.600 AM
36.9,2025-02-21 11:59:47.814 AM
36.0,2025-02-21 11:59:48.027 AM
36.4,2025-02-21 11:59:48.240 AM
35.3,2025-02-21 11:59:48.453 AM
35.6,2025-02-21 11:59:48.667 AM
36.1,2025-02-21 11:59:48.880 AM
36.1,2025-02-21 11:59:49.093 AM
37.0,2025-02-21 11:59:49.307 AM
38.3,2025-02-21 11:59:49.520 AM
35.6,2025-02-21 11:59:49.733 AM
36.6,2025-02-21 11:59:49.947 AM
58.8,2025-02-21 11:59:50.160 AM
75.3,2025-02-21 11:59:50.373 AM
99.1,2025-02-21 11:59:50.587 AM
87.4,2025-02-21 11:59:50.800 AM
68.5,2025-02-21 11:59:51.014 AM
43.9,2025-02-21 11:59:51.227 AM
41.8,2025-02-21 11:59:51.440 AM
38.9,2025-02-21 11:59:51.654 AM
38.9,2025-02-21 11:59:51.867 AM
58.4,2025-02-21 11:59:52.080 AM
76.5,2025-02-21 11:59:52.293 AM
101.1,2025-02-21 11:59:52.507 AM
91.3,2025-02-21 11:59:52.720 AM
76.8,2025-02-21 11:59:52.933 AM
95.8,2025-02-21 11:59:53.147 AM
84.8,2025-02-21 11:59:53.360 AM
75.7,2025-02-21 11:59:53.573 AM
100.8,2025-02-21 11:59:53.787 AM
79.9,2025-02-21 11:59:54.000 AM
76.5,2025-02-21 11:59:54.213 AM
96.5,2025-02-21 11:59:54.427 AM
79.8,2025-02-21 11:59:54.640 AM
77.7,2025-02-21 11:59:54.853 AM
94.7,2025-02-21 11:59:55.067 AM
79.3,2025-02-21 11:59:55.280 AM
77.4,2025-02-21 11:59:55.493 AM
102.3,2025-02-21 11:59:55.707 AM
79.0,2025-02-21 11:59:55.920 AM
102.0,2025-02-21 11:59:56.133 AM
87.6,2025-02-21 11:59:56.347 AM
78.5,2025-02-21 11:59:56.560 AM
99.3,2025-02-21 11:59:56.773 AM
92.6,2025-02-21 11:59:56.987 AM
78.4,2025-02-21 11:59:57.200 AM
96.8,2025-02-21 11:59:57.413 AM
86.0,2025-02-21 11:59:57.627 AM
77.3,2025-02-21 11:59:57.840 AM
98.7,2025-02-21 11:59:58.053 AM
83.8,2025-02-21 11:59:58.267 AM
76.6,2025-02-21 11:59:58.480 AM
102.7,2025-02-21 11:59:58.693 AM
80.9,2025-02-21 11:59:58.907 AM
77.3,2025-02-21 11:59:59.120 AM
102.5,2025-02-21 11:59:59.333 AM
79.6,2025-02-21 11:59:59.547 AM
77.2,2025-02-21 11:59:59.760 AM
97.9,2025-02-21 11:59:59.973 AM
78.9,2025-02-21 12:00:00.187 PM
77.0,2025-02-21 12:00:00.400 PM
96.1,2025-02-21 12:00:00.613 PM
78.5,2025-02-21 12:00:00.827 PM
76.9,2025-02-21 12:00:01.040 PM
97.2,2025-02-21 12:00:01.253 PM
71.4,2025-02-21 12:00:01.467 PM
58.2,2025-02-21 12:00:01.680 PM
37.8,2025-02-21 12:00:01.893 PM
39.4,2025-02-21 12:00:02.107 PM
